x,c(x),c.frac m,limit k
0.015625,64.010417344850837355655154257195806477698474041326442844326777424875274896,9,N/A
0.03125,32.02083875918507941974388901050319219617223380845877384297848111954523382,10,N/A
0.046875,21.364601647710812173705107095534669973038284996497577564490505650164118519,11,N/A
0.0625,16.041710085582891396278735070652956147149335810607961522046122618588987943,11,N/A
0.078125,12.852168153619831911458318552106184761950485793391760109991602849661571019,12,N/A
0.09375,10.729313273512863477372481447732455764633378318785118284692133944031003528,12,N/A
0.109375,9.2160066858816207651958023995185307712972891033978838602311743323455705839,13,N/A
0.125,8.0836810711737369345525786899465205853755291348460354954433099464403338161,13,N/A
0.140625,7.205356424516652592783742994637320803350717527218054124294138347700944917,14,N/A
0.15625,6.5048464067409804843408262120510563946060945658742073408459142350280299496,14,N/A
0.171875,5.9336703230875993074533500373429849577871073821438546965626463511257599279,14,N/A
0.1875,5.4595091134337724909744495549283480971213871338452748567310123074705454232,15,N/A
0.203125,5.0599893478190742368520706069217355430521967624804855648675567441706380303,15,N/A
0.21875,4.7191312246037717059864508615669485029850323087940939299495736512947016309,15,N/A
0.234375,4.4252173700129632620411111748586967813007428223162106602795846159189531081,15,N/A
0.25,4.1694608384412096514681909775788752631592445190089414854763630867156207662,16,N/A
0.265625,3.9451432308317949930196210505786016873794233482566516852635915413329463355,16,N/A
0.28125,3.7470401074143531561370988142314465746899346093593597815895126594305292183,16,N/A
0.296875,3.5710278494895445529422630345923772200976028267612641666036259062050632021,17,N/A
0.3125,3.413808463072087154700470191087752376169923450273332488513629832643954732,17,N/A
0.328125,3.2727130104162665554374845855146709697569712502505115891352198620305931073,17,N/A
0.34375,3.1455586514373398334886658277387921537859392871211185451346647190126601159,17,N/A
0.359375,3.0305429789486679697312437542699149891194011632898136433111404058209105653,17,N/A
0.375,2.9261647703258201166149800644276721437861642495736788844370965420368845115,18,N/A
0.390625,2.831163758971291160964054070042326561453662169668295600825423651806437729,18,N/A
0.40625,2.7444743048364781932873857677044015152522863373903622562145383095485074195,18,N/A
0.421875,2.6651893605127966641164164017046898558957565489897406740293555131884368213,19,N/A
0.4375,2.5925321589697702519241023195695693966175774116221690871254662865476230371,19,N/A
0.453125,2.5258337590633164379508546814790903214934505220438445738513584094811126563,19,N/A
0.46875,2.4645150819691269426144540986263585678135817212106741718847629374638078391,19,N/A
0.484375,2.4080724244281088145128645274282184757237929742426342325991381722077117552,19,N/A
0.5,2.3560656882169370806034638432080617001584763698141064346270260076333008636,19,N/A
0.515625,2.3081087496392935473402180530234482348258899324567476894775163299557230773,20,N/A
0.53125,2.26386152840867238826243426722453620276595006272700899243513475654565229,20,N/A
0.546875,2.2230234160066438902787360367923091330588273401798449582300692728733883743,20,N/A
0.5625,2.1853277991351579196216452107165700695606873890898394634313433569433162316,20,N/A
0.578125,2.150537471042794530247871867077563606047197429432416614235586060218978591,20,N/A
0.59375,2.1184407671279321895646070728939972597730069148828617708179098450995313266,21,N/A
0.609375,2.0888482947779603788677290922340129169852398928821860290306228434946277536,21,N/A
0.625,2.0615901534096471317740128383886366909918488337778921959820910723405435728,21,N/A
0.640625,2.0365135609730975220577995950049462984021953232903028768231561265542187712,21,N/A
0.65625,2.0134808191296202813954600563854012866258247557086382272982317513947798572,21,N/A
0.671875,1.9923675619237660978849356309682827851792414279421434472787298240026862638,22,N/A
0.6875,1.9730612428004462045813899715370521126117922450117583387400491039170664115,22,N/A
0.703125,1.9554598228425747783983226151764325574684388478311946496593034903276454972,22,N/A
0.71875,1.9394706295592286015125220512659562869337944993069354532326637513260614139,22,N/A
0.734375,1.9250093607729371947596513279755108889670598885319843049918739307064710386,22,N/A
0.75,1.9119992123949082994086636337387091662511902515860480919660777181172642195,23,N/A
0.765625,1.900370112338454169659541333344263319865751483290905388470444910298600493,23,N/A
0.78125,1.8900580456593788256809704492161918309304713601340575299759442003910877697,23,N/A
0.796875,1.8810044583497854781178913745837973545661785646541287541207227784541356465,23,N/A
0.8125,1.8731557291449948043358674447038932688128660710830837511650585612480548256,24,N/A
0.828125,1.8664627003083654883048545015672730939532975586328728521255268044103441249,24,N/A
0.84375,1.8608802596965665539084500896141223951155527173115897393141601236906183813,24,N/A
0.859375,1.8563669675268983151271165179311693661817282247387519409239382474609237482,24,N/A
0.875,1.852884722207675543336333344477341781243910723868565520746209270384070934,24,N/A
0.890625,1.8503984603840122751011957654638807045393622512269051569221498173036939107,24,N/A
0.90625,1.8488758870201414007534826291653424153832084960851128593315916696493432443,24,N/A
0.921875,1.8482872319064581807024483544957748368687848689104563560865379842108043598,25,N/A
0.9375,1.8486050294617777873071006750146531204987713896710090931733844259080097637,25,N/A
0.953125,1.8498039191127634194682274233550078782824121349260596283210541213084744296,25,N/A
0.96875,1.8518604638845643642292740326714335983434046588585435542951572613939276385,25,N/A
0.984375,1.8547529851388539338904019897157663887458628169673598850110504929803071297,26,N/A
1,1.858461411655501919928592452344084884872051563221047878369462054444350531,26,N/A
1.015625,1.8629671414785562455467187394344511504591684057155296814159990149214557221,26,N/A
1.03125,1.8682529151414603724761865065351891588368459499420364149611908063185473737,26,N/A
1.046875,1.8743026990550224494330210747880039049823441236206966724495675297943772419,26,N/A
1.0625,1.8811015779883709095457209805580612350329280984426451370036454299884291318,26,N/A
1.078125,1.8886356557011641865241901409016963449643725956849243074195217606950735716,27,N/A
1.09375,1.8968919628973511706101615501312246606384171211035878232916592439645861705,27,N/A
1.109375,1.9058583717690670876549219064403835838980912369172315794964444555957960633,27,N/A
1.125,1.9155235164857104525391191285035667180889654248574506367461620289143630061,27,N/A
1.140625,1.9258767190595020347349512976725581104296825235976646288843687565170797515,27,N/A
1.15625,1.9369079200862523502531738163800777728370294381752668223388103836128912151,27,N/A
1.171875,1.9486076139198293975962884085513871588831476365538374628023481290075432912,27,N/A
1.1875,1.9609667878919180715856639254592800286431788398523052725408574334583665155,27,N/A
1.203125,1.9739768652359441245681806837793580494554053539441387451312776780235419594,28,N/A
1.21875,1.9876296514162205685443226583416038166922292385606740441324168630390187765,28,N/A
1.234375,2.0019172836010782634772168534683679398029292106760800640949756710774827749,28,N/A
1.25,2.0168321830524894468709054985128103599959444940892347021330451841430354424,28,N/A
1.265625,2.0323670102349298109490773032154251506545782018015423365674215557549169919,28,N/A
1.28125,2.0485146224733316966454992177321246407992178500976573535564650627140073355,28,N/A
1.296875,2.0652680340142814651285267098639534625494168509737784995914113629590489864,28,N/A
1.3125,2.0826203783663828672231161525114300439114859212422704252473808673292691806,29,N/A
1.328125,2.100564872815178350788371351212015872011103163471121637537361031908831269,29,N/A
1.34375,2.1190947850253892501442833850714327424150879924587044381511833254206905085,29,N/A
1.359375,2.1382034016586709374496871897420410084949587827457413875405024960542181918,29,N/A
1.375,2.157883998948721887531349956525998245460927363848586551181339554298706775,29,N/A
1.390625,2.1781298151875562594223776367150311919654169938096892472627502728977086944,29,N/A
1.40625,2.1989340250871501360669906433640844924200318289923798548648311073391743227,30,N/A
1.421875,2.2202897159895893862897594136537760367575887969962633323925915469184972362,30,N/A
1.4375,2.242189865906357804141350283139621782761338944344105768729983532902469875,30,N/A
1.453125,2.2646273233735741126050802823407227220065078994275695699167801961427239802,30,N/A
1.46875,2.287594789114875097237366698775480039907985407359727166779867028788063713,30,N/A
1.484375,2.3110847995073043119968633452921732176721683248173421692477146658123043249,30,N/A
1.5,2.3350897118480533685553478486430242190342680254999287051265445627525819838,30,N/A
1.515625,2.3596016914212665134324704308504734401320468063718436933401539626052748976,30,N/A
1.53125,2.3846127003644100820973443152147187918634282090183851834270013221530352806,31,N/A
1.546875,2.4101144883329792057048500279507227089589345198937899800251382761282896979,31,N/A
1.5625,2.4360985849606203006097598819122561329691198949548594932054468351801274069,31,N/A
1.578125,2.4625562941091485361388893193016380492497346090999823870620216657727062885,31,N/A
1.59375,2.4894786898994981962373051910969560486794481592138737047858533228084508011,31,N/A
1.609375,2.5168566145104290960452757927353229917310814320971749159341143117923403515,31,N/A
1.625,2.5446806777268977068874474256324551788005973255076328596351841153834758514,32,N/A
1.640625,2.5729412582144664782039268384452854392380863779309653060318899376453995284,32,N/A
1.65625,2.601628506490053414214126219410533824922970373836345940970780898903483838,32,N/A
1.671875,2.630732349552805678777331978220207653823362908328223220231087801260738806,32,N/A
1.6875,2.6602424971320098304909179218979588340265203938077290364807294998142139008,32,N/A
1.703125,2.6901484495018251046234653881477749489614896316504234774499063539772897775,32,N/A
1.71875,2.7204395068053459225934927518413797875485588727237182451310834921613546643,32,N/A
1.734375,2.7511047798231686095410140532957511326888051228490465706679432520342125986,33,N/A
1.75,2.7821332021143592451063285754819203320259780523733312798797679364661124756,33,N/A
1.765625,2.8135135434505985853596001263134618969476012537416230140687685406526059207,33,N/A
1.78125,2.845234424457418522268780350388735067575236042058419563177639396892377494,33,N/A
1.796875,2.877284332369942217885925477526713660624977964467726710621258819727788408,33,N/A
1.8125,2.9096516378044923020277991168276730372641427812752237740427651364640854627,33,N/A
1.828125,2.9423246124419282456316878084155578301578978072787574021123215410929045528,34,N/A
1.84375,2.9752914475136982421898703728143519030956081226614147943060822855842553568,34,N/A
1.859375,3.0085402729774175595281112017557863525492712868997165750215660518965892223,34,N/A
1.875,3.0420591772653800210022724031129843789501980754733244920860082152991538148,34,N/A
1.890625,3.0758362274868274286937257407070019216959014140450464277450939989951136003,34,N/A
1.90625,3.1098594899630876183774943593938606322973315407650972752120253362170087209,34,N/A
1.921875,3.1441170509738779047115178307673242416853598961421234146130128599798093617,34,N/A
1.9375,3.1785970375931771238805457020338332095028915453749985381622715189452900031,34,N/A
1.953125,3.2132876384941039486949547084941968772262776170476325497511876074956697471,35,N/A
